id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
514274,Sankalp Restaurant,Rajkot,4.2,20+ ratings,� 500,South Indian,1.07E+13,https://www.swiggy.com/restaurants/sankalp-restaurant-madhapar-west-gate-rajkot-514274,"Sankalp Restaurant, ""SANKALP"" ,SHOP NO 26 TO 30, ""WEST GATE BUILDING, 150fT RING ROAD, NEAR MODI SCHOOL, RAJKOT",Menu/514274.json
203354,KALAVAI SADAM & TIFFIN(Home Made),Namakkal,4.3,20+ ratings,� 100,South Indian,2.24E+13,https://www.swiggy.com/restaurants/kalavai-sadam-and-tiffin-home-made-periyapatti-r-p-pudur-namakkal-203354,"KALAVAI SADAM & TIFFIN(Home Made), OPP to Riyal fruit Shop, MAIN ROAD, R.P Pudur, Namakkal, Tamil Nadu, Indien",Menu/203354.json
295598,Natural Ice Cream,"NSP,Delhi",4.4,100+ ratings,� 150,Ice Cream,1.33E+13,https://www.swiggy.com/restaurants/natural-ice-cream-naturals-nsp-shakurpur-delhi-295598,"Natural Ice Cream, G-35-36, GROUND FLOOR, AGGARWAL MILLENNIUM TOWER, PLOT NO-E-1,2,3, NETAJI SUBHASH PLACE,PITTAM PURA, New Delhi, Delhi, 110034",Menu/295598.json
515732,China King,"Zirakpur,Chandigarh",4.8,20+ ratings,� 250,Chinese,2.21E+13,https://www.swiggy.com/restaurants/china-king-zirakpur-chandigarh-515732,"China King, sco 14 ground floor vip road zirakpur punjab 140603",Menu/515732.json
292776,Bread Boutique by Brew Room,"Mylapore,Chennai",4.4,100+ ratings,� 300,"Bakery,Desserts",1.24E+13,https://www.swiggy.com/restaurants/bread-boutique-by-brew-room-mylapore-chennai-292776,"Bread Boutique by Brew Room, No:146 , Radhakrishnan Salai , Mylapore , Chennai - 600004",Menu/292776.json
372132,Chandra Bhavan,"Madipakkam,Chennai",3.8,20+ ratings,� 200,"South Indian,Indian",1.24E+13,https://www.swiggy.com/restaurants/chandra-bhavan-madipakkam-nanganallur-chennai-372132,"Chandra Bhavan, Chandra Bhavan, MMTC Colony Main Road, Eswaran Colony, Lakshmi Nagar, AGS Colony, Nanganallur, Chennai, Tamil Nadu, India",Menu/372132.json
252019,China Knight,"Magarpatta,Pune",--,Too Few Ratings,� 300,"Beverages,Chinese",2.15E+13,https://www.swiggy.com/restaurants/china-knight-magarpatta-hadapsar-pune-252019,"China Knight, 2nd Floor, Kapare House, Sr No 150/A/1/3, Magarpatta Road, Hadapsar Gaon, Pune-411028",Menu/252019.json
287238,Khana To Banti Hai,"Salt Lake,Kolkata",--,Too Few Ratings,� 250,"Bakery,Snacks",2.28E+13,https://www.swiggy.com/restaurants/khana-to-banti-hai-salt-lake-bidhannagar-kolkata-287238,"Khana To Banti Hai, NP 246, SALTLAKE SEC V, OPP TECHNOPOLICE, BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION, North Twenty Four Parganas (West Bengal), - 700102",Menu/287238.json
374928,Maa Tasty Momos & Soup,Bhubaneswar,--,Too Few Ratings,� 100,"Street Food,Snacks",2.20E+13,https://www.swiggy.com/restaurants/maa-tasty-momos-and-soup-old-bbsr-jharapada-bhubaneswar-374928,"Maa Tasty Momos & Soup, JHARPADA, Jharpada Village, Ward 32, Bhubaneswar Municipal Corporation, Orissa",Menu/374928.json
78003,Haji Ali Fresh Fruit Juices - Palayam,Thiruvananthapuram,4.1,1K+ ratings,� 250,"Desserts,Beverages",1.13E+13,https://www.swiggy.com/restaurants/haji-ali-fresh-fruit-juices-palayam-palayam-thiruvananthapuram-78003,"Haji Ali Fresh Fruit Juices - Palayam, Juma Masjid Building, Mahathma Gandhi Road, University of Kerala Senate House Campus, Palayam, Trivandrum",Menu/78003.json
373264,Meet N Eat,"Dwarka Nagar,Vizag",3.6,20+ ratings,� 250,"Chinese,Fast Food",2.01E+13,https://www.swiggy.com/restaurants/meet-n-eat-dwarka-nagar-dwaraka-nagar-vizag-373264,"Meet N Eat, Rama Talkies Rd, Ramatalkies Area, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016",Menu/373264.json
454348,Handi biryani,"Rohini,Delhi",--,Too Few Ratings,� 350,"Biryani,Chinese",2.33E+13,https://www.swiggy.com/restaurants/handi-biryani-rohini-delhi-454348,"Handi biryani, House no. 230 2nd Floor BLK-G PKT-21 SEC 7 ROHINI DELHI RITHALA NORTH WEST DELHI 110085",Menu/454348.json
231920,South Corner,Silchar,3.6,500+ ratings,� 200,"Chinese,Indian",2.03E+13,https://www.swiggy.com/restaurants/south-corner-tarapur-silchar-231920,"South Corner, Rangirkhari, opp Alochaya, Silchar 05",Menu/231920.json
503361,The Kitchen Point,Agra,--,Too Few Ratings,� 120,"Snacks,Fast Food",2.27E+13,https://www.swiggy.com/restaurants/the-kitchen-point-sikandra-agra-503361,"The Kitchen Point, 1238, Sector 12, Avas Vikas Colony, Sikandra, Agra, Uttar Pradesh 282007, India",Menu/503361.json
493570,JK FOOD COURTS,"Nizampet & Pragathi Nagar,Hyderabad",--,Too Few Ratings,� 85,Chinese,2.36E+13,https://www.swiggy.com/restaurants/jk-food-courts-nizampet-and-pragathi-nagar-hyderabad-493570,"JK FOOD COURTS, Plot no 5,setwinabad colony, opp Old age Home, Mayuri Nagar, Miyapur, Telangana 500049, India",Menu/493570.json
426182,Whatever,"CV Raman Nagar,Bangalore",--,Too Few Ratings,� 250,Chinese,2.12E+13,https://www.swiggy.com/restaurants/whatever-cv-raman-nagar-bangalore-426182,"Whatever, No. 31, Skanda Arcade Kaggadasapur, Main Road 25th CV Ramana Nagar , K R Puram, B.B.M.P East, Karnataka-560093",Menu/426182.json
131273,The Shawarma Shop,"Velachery,Chennai",3.2,20+ ratings,� 250,Lebanese,2.24E+13,https://www.swiggy.com/restaurants/the-shawarma-shop-adambakkam-chennai-131273,"The Shawarma Shop, 4th Cross Street, Shastri Nagar, Adambakkam, Chennai",Menu/131273.json
441579,PETH PUJA,"South Kolkata,Kolkata",--,Too Few Ratings,� 200,"South Indian,Beverages",2.28E+13,https://www.swiggy.com/restaurants/peth-puja-south-kolkata-kolkata-441579,"PETH PUJA, 1, Cooper St, Garcha, SAILAVA, Kolkata, West Bengal 700026, India",Menu/441579.json
311171,HUNGRY TREAT,"Vasant Kunj,Delhi",--,Too Few Ratings,� 400,"Indian,Chinese",2.33E+13,https://www.swiggy.com/restaurants/hungry-treat-vasant-kunj-mahipalpur-delhi-311171,"HUNGRY TREAT, K-2/832, MAHIPALPUR, MAHIPAL PUR, VASANT VIHAR, New Delhi, Delhi-110037",Menu/311171.json
